OrderID,CustomerName,ProductName,Category,Quantity,UnitPrice,OrderDate,City,PaymentMethod,Status,TotalPrice
ORD00001,Pari Ahluwalia,Refrigerator,Furniture,1,13798,2024-03-02,Hazaribagh,Cash,Pending,13798
ORD00002,Ehsaan Deshpande,Refrigerator,Furniture,1,32729,2024-02-29,Katni,Cash,Cancelled,32729
ORD00003,Vardaniya Jayaraman,Refrigerator,Furniture,1,18474,2023-12-13,Anantapuram,Cash,Pending,18474
ORD00004,Nirvi Mandal,Refrigerator,Furniture,4,40655,2024-07-23,Agartala,Credit Card,Cancelled,162620
ORD00005,Dhruv Mani,Laptop,Electronics,4,16704,2024-03-03,Rewa,UPI,Pending,66816
ORD00006,Aarav Tailor,Smartphone,Furniture,8,45813,2024-10-16,Jalna,Cash,Cancelled,366504
ORD00007,Hiran Mann,Washing Machine,Electronics,3,39483,2024-04-08,Jodhpur,UPI,Delivered,118449
ORD00008,Riya Lanka,TV,Electronics,3,8865,2023-12-31,Pali,UPI,Cancelled,26595
ORD00009,Aarav Kota,Smartphone,Electronics,5,9687,2024-07-23,Gurgaon,UPI,Pending,48435
ORD00010,Ranbir Venkataraman,Smartphone,Appliances,3,34967,2024-08-14,Visakhapatnam,Cash,Pending,104901
ORD00011,Gatik Comar,Air Conditioner,Electronics,5,14857,2024-04-27,Ongole,UPI,Pending,74285
ORD00012,Ivan Rajagopal,Air Conditioner,Furniture,6,48069,2024-02-10,Shimla,Credit Card,Pending,288414
ORD00013,Zaina Kade,Smartphone,Furniture,10,28913,2024-06-05,Vijayanagaram,Credit Card,Delivered,289130
ORD00014,Pihu Bedi,Laptop,Furniture,5,33078,2024-04-07,Cuttack,Credit Card,Cancelled,165390
ORD00015,Trisha Kadakia,Air Conditioner,Appliances,4,6504,2024-09-13,Visakhapatnam,Cash,Delivered,26016
ORD00016,Sara Dara,Washing Machine,Appliances,9,13938,2024-09-17,Tadepalligudem,UPI,Cancelled,125442
ORD00017,Divit Maharaj,Headphones,Appliances,9,45190,2024-07-22,Vijayanagaram,UPI,Pending,406710
ORD00018,Arhaan Saran,Air Conditioner,Electronics,8,24682,2024-10-23,Ozhukarai,Cash,Cancelled,197456
ORD00019,Gatik Ghose,Air Conditioner,Electronics,8,15595,2024-06-15,Bharatpur,Cash,Delivered,124760
ORD00020,Lagan Wable,Smartphone,Electronics,1,4845,2024-06-10,Howrah,Cash,Delivered,4845
ORD00021,Pari Sachar,Laptop,Appliances,8,12830,2024-02-24,Rampur,UPI,Delivered,102640
ORD00022,Shalv Bawa,Refrigerator,Electronics,10,35022,2024-11-02,Gwalior,Cash,Pending,350220
ORD00023,Jivin Jain,Headphones,Appliances,10,3681,2024-04-21,,Cash,Cancelled,36810
ORD00024,Neelofar Srinivasan,Air Conditioner,Appliances,6,18279,2024-06-01,Thane,Credit Card,Pending,109674
ORD00025,Zeeshan Savant,Air Conditioner,Appliances,9,27936,2024-01-11,Aligarh,Credit Card,Delivered,251424
ORD00026,Tushar Shanker,Refrigerator,Electronics,6,1807,2024-03-01,Hajipur,UPI,Pending,10842
